REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY,Zipcode,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count
200800,2017-11-29T09:54:00,Graffiti,Control Panel,1,Police - Zones 1-6,South Side Flats,3,16,42003160900,3.0,16,3.0,24-Apr,-79.96995168,40.42924284,APPROXIMATE,19132,ZCTA5 19132,18918.0,33368.0,36.2,14459.0,13539.0
193043,2017-10-12T12:46:00,Guide Rail,Call Center,1,DPW - Construction Division,East Hills,9,13,42003130600,2.0,13,5.0,19-Mar,-79.876582,40.45122643,EXACT,19132,ZCTA5 19132,18918.0,33368.0,36.2,14459.0,13539.0
195917,2017-10-27T10:23:00,Manhole Cover ,Call Center,1,DOMI - Permits,Bluff,6,1,42003010300,3.0,1,2.0,4-Feb,-79.98558587,40.43526318,EXACT,19132,ZCTA5 19132,18918.0,33368.0,36.2,14459.0,13539.0
189977,2017-09-27T17:02:00,Manhole Cover ,Call Center,1,DOMI - Permits,Central Business District,6,2,42003020100,6.0,2,2.0,3-Jan,-80.0002635,40.4432402,EXACT,19132,ZCTA5 19132,18918.0,33368.0,36.2,14459.0,13539.0
184662,2017-09-05T13:49:00,Abandoned Vehicle (parked on street),Call Center,0,Police - AVU,Marshall-Shadeland,1,27,42003271500,1.0,27,1.0,14-Jan,-80.02763449,40.47033394,APPROXIMATE,19132,ZCTA5 19132,18918.0,33368.0,36.2,14459.0,13539.0
184586,2017-09-05T11:50:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,Lower Lawrenceville,7,6,42003090100,2.0,6,2.0,3-Mar,-79.9669065,40.471717299999995,EXACT,19132,ZCTA5 19132,18918.0,33368.0,36.2,14459.0,13539.0
201310,2017-12-01T13:23:00,Litter,Call Center,1,DPW - Street Maintenance,Troy Hill,1,24,42003240600,1.0,24,1.0,2-Jan,-79.98585859999999,40.4597155,EXACT,19144,ZCTA5 19144,29505.0,41209.0,36.9,20918.0,13125.0
196521,2017-10-31T15:17:00,Guide Rail,Call Center,1,DPW - Construction Division,East Hills,9,13,42003130600,2.0,13,5.0,19-Mar,-79.8768234,40.4511652,EXACT,19144,ZCTA5 19144,29505.0,41209.0,36.9,20918.0,13125.0
179176,2017-08-14T14:00:00,Neighborhood Issues,Control Panel,0,,Middle Hill,6,5,42003050100,3.0,5,2.0,1-Feb,-79.97772619,40.44614211,APPROXIMATE,19144,ZCTA5 19144,29505.0,41209.0,36.9,20918.0,13125.0
183969,2017-08-31T12:07:00,Blocked or Closed Sidewalks,Control Panel,1,DOMI - Permits,Spring Hill-City View,1,24,42003262000,1.0,24,1.0,24-Jan,-79.99404033,40.46315278,APPROXIMATE,19144,ZCTA5 19144,29505.0,41209.0,36.9,20918.0,13125.0
187861,2017-09-19T10:06:00,Manhole Cover ,Call Center,1,DOMI - Permits,Central Business District,6,2,42003020100,6.0,2,2.0,3-Jan,-79.99636983,40.44271037,EXACT,19144,ZCTA5 19144,29505.0,41209.0,36.9,20918.0,13125.0
183065,2017-08-29T10:53:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,Windgap,2,20,42003563000,5.0,20,6.0,16-Jan,-80.0732129,40.4576333,EXACT,19144,ZCTA5 19144,29505.0,41209.0,36.9,20918.0,13125.0
