Count of REQUEST_ORIGIN,Column Labels,,,,,
Row Labels,Abandoned Vehicle,Building Maintenance,Potholes,Snow/Ice removal,Weeds/Debris,Grand Total
17-Apr,,52,237,,84,373
17-Aug,4,46,99,,273,422
17-Dec,1,25,30,163,36,255
17-Feb,,54,86,67,43,250
17-Jan,,53,130,61,52,296
17-Jul,4,56,166,,302,528
17-Jun,2,57,161,,247,467
17-Mar,,44,302,7,49,402
17-May,,66,207,,222,495
17-Nov,2,40,27,10,58,137
17-Oct,,38,47,,117,202
17-Sep,3,36,53,,135,227
18-Apr,5,16,474,2,132,629
18-Aug,6,63,146,,262,477
18-Dec,,27,67,19,56,169
18-Feb,5,39,637,329,81,1091
18-Jan,,27,280,803,59,1169
18-Jul,8,47,257,,291,603
18-Jun,4,25,321,,288,638
18-Mar,,33,189,299,140,661
18-May,1,23,421,,316,761
18-Nov,6,24,70,139,91,330
18-Oct,1,36,81,,132,250
18-Sep,6,40,71,,206,323
19-Apr,4,51,227,,125,407
19-Aug,3,44,97,,256,400
19-Dec,,68,47,95,71,281
19-Feb,7,74,278,224,84,667
19-Jan,3,41,61,524,53,682
19-Jul,3,57,190,,284,534
19-Jun,9,56,151,,337,553
19-Mar,5,30,213,41,92,381
19-May,2,75,207,,326,610
19-Nov,6,44,40,18,67,175
19-Oct,2,46,50,,145,243
19-Sep,3,69,61,,238,371
20-Jan,,17,49,100,73,239
Grand Total,105,1639,6230,2901,5823,16698
